Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,flip_TE,flip_TM,flip_NP,polarimeter_TAU,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
98.7,,,,0.31219,0.43522,0.18916,0.13101,0.29398,0.29456,0.2934,,,,0.83251,0.92533,0.87169,0.64965,0.314,,0.0,1.93e-07,5e-06,6.616e-20,3.1,3.1
98.8,0.00026787,5.0535e-05,0.00012963,0.30731,0.43084,0.18378,0.13035,0.28808,0.28866,0.2875,0.51702,0.062335,0.40233,0.83287,0.92399,0.87135,0.64956,0.314,0.00012963,0.0,2.14e-07,5e-06,6.019e-20,3.1,3.1
98.9,0.00025906,5.4279e-05,0.00012363,0.30195,0.42588,0.17802,0.12974,0.28181,0.28239,0.28122,0.54602,0.072798,0.42545,0.83322,0.92266,0.87101,0.64947,0.314,0.00012363,0.0,2.36e-07,5e-06,5.486e-20,3.1,3.1
99.0,0.00024835,5.6768e-05,0.00011674,0.29615,0.42036,0.17195,0.1292,0.27525,0.27582,0.27466,0.575,0.083262,0.44855,0.83358,0.92132,0.87067,0.64937,0.314,0.00011674,0.0,2.61e-07,5e-06,5.011e-20,3.1,3.1
99.1,0.00023627,5.8167e-05,0.0001093,0.28998,0.4143,0.16566,0.12871,0.2685,0.26909,0.26793,0.604,0.093725,0.47167,0.83394,0.91999,0.87034,0.64927,0.3210999999999996,0.0001093,0.0,2.87e-07,5e-06,4.587e-20,3.1,3.1
99.2,0.00022154,5.8165e-05,0.00010063,0.28318,0.4075,0.15886,0.12828,0.26105,0.26163,0.26047,0.63299,0.10419,0.49478,0.83429,0.91865,0.87,0.64916,0.3282000000000002,0.00010063,0.0,3.19e-07,5e-06,4.177e-20,3.1,3.1
99.3,0.0001898,5.2664e-05,8.3626e-05,0.27429,0.39924,0.14934,0.1279,0.24846,0.24904,0.24786,0.65111,0.11215,0.50939,0.83465,0.91732,0.86966,0.64906,0.3352999999999998,8.3626e-05,0.0,3.65e-07,5e-06,3.689e-20,3.1,3.1
99.4,0.0001653,4.7935e-05,7.1046e-05,0.2683,0.39404,0.14255,0.12757,0.23833,0.23893,0.23772,0.65838,0.11761,0.51551,0.835,0.91598,0.86932,0.64895,0.3424000000000004,7.1046e-05,0.0,4.17e-07,5e-06,3.27e-20,3.1,3.1
99.5,0.00015279,4.6022e-05,6.4755e-05,0.26643,0.3932,0.13967,0.12729,0.232,0.23263,0.23136,0.66564,0.12307,0.52163,0.83536,0.91465,0.86899,0.64883,0.34950000000000003,6.4755e-05,0.0,4.75e-07,5e-06,2.911e-20,3.1,3.1
99.6,0.00015488,4.805e-05,6.589e-05,0.27022,0.39823,0.14222,0.12706,0.23124,0.23189,0.23059,0.6729,0.12854,0.52775,0.83572,0.91331,0.86865,0.64872,0.3565999999999996,6.589e-05,0.0,5.44e-07,5e-06,2.58e-20,3.1,3.1
99.7,0.00017825,5.6388e-05,7.7851e-05,0.28148,0.41084,0.15213,0.12687,0.2383,0.23898,0.23761,0.68017,0.134,0.53387,0.83607,0.91198,0.86831,0.6486,0.3637000000000002,7.7851e-05,0.0,6.21e-07,5e-06,2.296e-20,3.1,3.1
99.8,0.00023496,7.4235e-05,0.00010789,0.30226,0.43278,0.17174,0.12673,0.25587,0.25658,0.25515,0.67509,0.13569,0.53019,0.83643,0.91064,0.86797,0.64848,0.3707999999999998,0.00010789,0.0,7.07e-07,5e-06,2.051e-20,3.1,3.1
99.9,0.0003574,0.0001106,0.00017591,0.33473,0.46562,0.20383,0.12663,0.28697,0.2877,0.28622,0.65766,0.13361,0.5167,0.83678,0.90931,0.86764,0.64836,0.3779000000000004,0.00017591,0.0,8.03e-07,5e-06,1.84e-20,3.1,3.1
100.0,0.00060368,0.00018194,0.00032064,0.37761,0.50723,0.24799,0.12656,0.33128,0.33204,0.33053,0.64024,0.13154,0.50321,0.83714,0.90797,0.8673,0.64823,0.385,0.00032064,0.0,9.1e-07,5e-06,1.657e-20,3.1,3.1
