Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
120.53,0.027809,0.011029,0.02225,0.58079,0.86872,0.86844,0.86857,0.74432,0.31597,0.6104,0.53021,0.49582,0.51755,0.45234,0.76741,0.02225,0.0,0.0001082999999999995,5e-06,5.674699999999975e-20,3.1,3.1
120.73,0.033117,0.013348,0.026714,0.58079,0.87001,0.86974,0.86988,0.67029,0.28187,0.54918,0.68977,0.66171,0.67941,0.45336,0.76681,0.026714,0.0,0.00013409999999999922,5e-06,6.989299999999961e-20,3.1,3.1
120.93,0.029415,0.011684,0.023676,0.58079,0.87132,0.87105,0.87118,0.59626,0.24777,0.48795,0.67774,0.64842,0.66691,0.45438,0.76621,0.023676,0.0,0.00017670000000000527,5e-06,9.140700000000272e-20,3.1,3.1
121.13,0.025707,0.010026,0.02064,0.58079,0.8726,0.87233,0.87247,0.52223,0.21367,0.42673,0.66571,0.63513,0.65441,0.4554,0.76613,0.02064,0.0,0.00025849999999999707,5e-06,1.3312999999999849e-19,3.1,3.1
121.33,0.021354,0.008325,0.017132,0.58079,0.87384,0.87358,0.87371,0.4351,0.17847,0.35564,0.65369,0.62185,0.64191,0.45643,0.7663300000000001,0.017132,0.0,0.0004929999999999887,5e-06,2.5203999999999423e-19,3.1,3.1
121.53,0.01693,0.0066272,0.013578,0.58079,0.87481,0.87455,0.87468,0.3465,0.14315,0.28344,0.64166,0.60856,0.62941,0.45746,0.76653,0.013578,0.0,0.0021669999999999233,5e-06,1.101519999999961e-18,3.1,3.1
121.73,0.012536,0.0049507,0.010056,0.58079,0.87578,0.87552,0.87565,0.25791,0.10783,0.21125,0.62963,0.59527,0.61691,0.4585,0.76673,0.010056,0.0,0.0007303000000000163,5e-06,3.734800000000083e-19,3.1,3.1
121.93,0.028526,0.010184,0.022646,0.58079,0.87659,0.87633,0.87646,0.59062,0.22396,0.47932,0.6176,0.58199,0.60441,0.45954,0.76693,0.022646,0.0,0.00031159999999998584,5e-06,1.6113999999999287e-19,3.1,3.1
122.13,0.03168,0.011186,0.025104,0.58079,0.87723,0.87697,0.8771,0.66092,0.24871,0.53606,0.60558,0.5687,0.59191,0.46059,0.76713,0.025104,0.0,0.0001991000000000015,5e-06,1.0416000000000075e-19,3.1,3.1
122.33,0.034761,0.012154,0.027497,0.58079,0.87786,0.87761,0.87774,0.73122,0.27347,0.59279,0.59355,0.55541,0.57941,0.46164,0.7673300000000001,0.027497,0.0,0.00014660000000000083,5e-06,7.742900000000042e-20,3.1,3.1
