Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
944.0,0.024263,0.049889,0.029968,0.039803,0.983,0.983,0.983,0.26998,0.57625,0.33831,0.82282,0.79264,0.81101,0.77432,0.9186000000000001,0.039803,0.0,0.0,5e-06,5.65e-20,3.1,3.1
944.8,0.022796,0.049499,0.028844,0.038309,0.98294,0.98294,0.98294,0.24475,0.52504,0.30775,0.8512,0.86157,0.85654,0.77444,0.9189200000000001,0.038309,0.0,0.0,5e-06,5.65e-20,3.1,3.1
945.6,0.019959,0.043099,0.025237,0.033518,0.98288,0.98288,0.98288,0.2182,0.47096,0.27551,0.83422,0.8346,0.83539,0.77456,0.9193600000000001,0.033518,0.0,0.0,5e-06,5.65e-20,3.1,3.1
946.4,0.017069,0.03665,0.021568,0.028646,0.98283,0.98283,0.98283,0.19008,0.41297,0.24105,0.81723,0.80762,0.81425,0.77469,0.91984,0.028646,0.0,0.0,5e-06,5.65e-20,3.1,3.1
947.2,0.014017,0.0299,0.017691,0.023496,0.98277,0.98277,0.98277,0.15901,0.34772,0.2025,0.80024,0.78064,0.79311,0.77481,0.92032,0.023496,0.0,0.0,5e-06,5.65e-20,3.1,3.1
948.0,0.011074,0.023525,0.013985,0.018574,0.98273,0.98273,0.98273,0.12795,0.28246,0.16394,0.78326,0.75367,0.77197,0.77494,0.9208000000000001,0.018574,0.0,0.0,5e-06,5.65e-20,3.1,3.1
948.8,0.032198,0.058801,0.038018,0.050492,0.98268,0.98268,0.98268,0.37849,0.72886,0.4561,0.76627,0.72669,0.75082,0.77506,0.92128,0.050492,0.0,0.0,5e-06,5.65e-20,3.1,3.1
949.6,0.033226,0.060257,0.039173,0.052025,0.98265,0.98265,0.98265,0.39702,0.77102,0.48065,0.74929,0.69972,0.72968,0.77519,0.92176,0.052025,0.0,0.0,5e-06,5.65e-20,3.1,3.1
950.4,0.033606,0.060464,0.039543,0.052516,0.98262,0.98262,0.98262,0.40789,0.79884,0.49604,0.7323,0.67274,0.70854,0.77531,0.92208,0.052516,0.0,0.0,5e-06,5.65e-20,3.1,3.1
951.2,0.032248,0.057636,0.037893,0.050324,0.98261,0.98261,0.98261,0.39722,0.78639,0.4857,0.71531,0.64577,0.6874,0.77543,0.9222400000000001,0.050324,0.0,0.0,5e-06,5.65e-20,3.1,3.1
952.0,0.030969,0.054943,0.036335,0.048255,0.9826,0.9826,0.9826,0.38654,0.77393,0.47536,0.69833,0.61879,0.66626,0.77556,0.9224,0.048255,0.0,0.0,5e-06,5.65e-20,3.1,3.1
952.8,0.035677,0.07329,0.044446,0.059026,0.9826,0.9826,0.9826,0.35852,0.72529,0.44326,0.85722,0.87047,0.86376,0.77568,0.92256,0.059026,0.0,0.0,5e-06,5.65e-20,3.1,3.1
953.6,0.031945,0.065659,0.039853,0.052926,0.9826,0.9826,0.9826,0.32261,0.66021,0.40127,0.84144,0.8451,0.84395,0.77581,0.9227200000000001,0.052926,0.0,0.0,5e-06,5.65e-20,3.1,3.1
954.4,0.028151,0.057963,0.035196,0.046742,0.98261,0.98261,0.98261,0.28533,0.59175,0.3574,0.82565,0.81972,0.82414,0.77593,0.92288,0.046742,0.0,0.0,5e-06,5.65e-20,3.1,3.1
