Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectrpol,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
234.1,,,,,0.72111,0.92577,0.92577,0.92577,,,,,,,0.48901,0.8672799999999999,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
234.3,,,,,0.73654,0.92577,0.92577,0.92577,0.55265,0.43899,0.51417,,,,0.48583,0.86744,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
234.5,,,,,0.75197,0.92577,0.92577,0.92577,0.56091,0.45222,0.52397,,,,0.48284,0.8676,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
234.7,,,,,0.7674,0.92577,0.92577,0.92577,0.56916,0.46545,0.53378,,,,0.48004,0.86776,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
234.9,,,,,0.78283,0.92577,0.92577,0.92577,0.57742,0.47868,0.54358,,,,0.47746,0.86792,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
235.1,,,,,0.79631,0.92577,0.92577,0.92577,0.58568,0.4919,0.55338,,,,0.47512,0.8680599999999999,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
235.3,,,,,0.80783,0.92577,0.92577,0.92577,0.57298,0.48669,0.54318,,,,0.47303,0.86818,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
235.5,,,,,0.81935,0.92577,0.92577,0.92577,0.55505,0.47686,0.52797,,,,0.47122,0.8683,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
235.7,,,,,0.83087,0.92577,0.92577,0.92577,0.53712,0.46703,0.51276,,,,0.4697,0.86842,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
235.9,,,,,0.84239,0.92577,0.92577,0.92577,0.51919,0.45721,0.49756,,,,0.4685,0.86854,,0.0,0.0,5e-06,5.65e-20,3.1,3.1
236.1,0.074133,0.053464,0.047813,0.06598,0.8497,0.92577,0.92577,0.92577,0.50126,0.44738,0.48235,0.46913,0.37907,0.4339,0.46762,0.86866,0.06598,0.0,0.0,5e-06,5.65e-20,3.1,3.1
236.3,0.080558,0.059905,0.052485,0.072422,0.8528,0.92577,0.92577,0.92577,0.46641,0.41991,0.45007,0.5465,0.4514,0.50915,0.46709,0.86878,0.072422,0.0,0.0,5e-06,5.65e-20,3.1,3.1
236.5,0.074243,0.05564,0.048494,0.06691,0.85589,0.92577,0.92577,0.92577,0.43068,0.3915,0.41688,0.54366,0.44821,0.50618,0.46693,0.8689,0.06691,0.0,0.0,5e-06,5.65e-20,3.1,3.1
236.7,0.068005,0.051445,0.044558,0.061474,0.85899,0.92577,0.92577,0.92577,0.39495,0.3631,0.3837,0.54082,0.44501,0.50321,0.46715,0.86902,0.061474,0.0,0.0,5e-06,5.65e-20,3.1,3.1
236.9,0.061832,0.047314,0.040668,0.056103,0.86209,0.92577,0.92577,0.92577,0.35921,0.33469,0.35052,0.53798,0.44181,0.50024,0.46778,0.86914,0.056103,0.0,0.0,5e-06,5.65e-20,3.1,3.1
237.1,0.055478,0.042987,0.036643,0.050547,0.86166,0.92577,0.92577,0.92577,0.32344,0.30577,0.31713,0.53514,0.43862,0.49728,0.46883,0.86926,0.050547,0.0,0.0,5e-06,5.65e-20,3.1,3.1
237.3,0.048974,0.038175,0.032418,0.044715,0.85771,0.92577,0.92577,0.92577,0.28746,0.27392,0.28263,0.53229,0.43542,0.49431,0.47032,0.86938,0.044715,0.0,0.0,5e-06,5.65e-20,3.1,3.1
237.5,0.042595,0.033472,0.028278,0.039002,0.85376,0.92577,0.92577,0.92577,0.25148,0.24207,0.24812,0.52945,0.43223,0.49134,0.47227,0.8694999999999999,0.039002,0.0,0.0,5e-06,5.65e-20,3.1,3.1
237.7,0.036322,0.028867,0.024212,0.033392,0.84981,0.92577,0.92577,0.92577,0.21549,0.21022,0.21362,0.52661,0.42903,0.48837,0.47469,0.86962,0.033392,0.0,0.0,5e-06,5.65e-20,3.1,3.1
237.9,0.030138,0.024347,0.020209,0.027869,0.84585,0.92577,0.92577,0.92577,0.17951,0.17837,0.17911,0.52377,0.42584,0.48541,0.47762,0.86974,0.027869,0.0,0.0,5e-06,5.65e-20,3.1,3.1
238.1,0.095329,0.061408,0.059572,0.082145,0.84089,0.92577,0.92577,0.92577,0.57016,0.4527,0.5305,0.52093,0.42264,0.48244,0.48106,0.86986,0.082145,0.0,0.0,5e-06,5.65e-20,3.1,3.1
238.3,0.098288,0.063467,0.061458,0.084739,0.83491,0.92577,0.92577,0.92577,0.59044,0.47093,0.55004,0.51809,0.41944,0.47947,0.48503,0.86998,0.084739,0.0,0.0,5e-06,5.65e-20,3.1,3.1
238.5,0.10132,0.06556,0.063385,0.08739,0.82894,0.92577,0.92577,0.92577,0.61071,0.48915,0.56958,0.51525,0.41625,0.47651,0.48956,0.8701,0.08739,0.0,0.0,5e-06,5.65e-20,3.1,3.1
238.7,0.10443,0.067692,0.06536,0.090105,0.82296,0.92577,0.92577,0.92577,0.63099,0.50738,0.58912,0.51241,0.41305,0.47354,0.49465,0.87022,0.090105,0.0,0.0,5e-06,5.65e-20,3.1,3.1
238.9,0.10763,0.06987,0.067388,0.092894,0.81698,0.92578,0.92578,0.92578,0.65127,0.52561,0.60865,0.50957,0.40986,0.47057,0.50034,0.87034,0.092894,0.0,0.0,5e-06,5.65e-20,3.1,3.1
239.1,0.10929,0.071021,0.068442,0.094341,0.81178,0.92578,0.92578,0.92578,0.66096,0.53519,0.61827,0.50672,0.40666,0.4676,0.50663,0.87046,0.094341,0.0,0.0,5e-06,5.65e-20,3.1,3.1
239.3,0.10707,0.069624,0.067061,0.092431,0.80734,0.92578,0.92578,0.92578,0.64597,0.52458,0.60473,0.50388,0.40347,0.46464,0.51353,0.87058,0.092431,0.0,0.0,5e-06,5.65e-20,3.1,3.1
239.5,0.10492,0.068273,0.065721,0.090577,0.8029,0.92578,0.92578,0.92578,0.63097,0.51397,0.59119,0.50104,0.40027,0.46167,0.52092,0.8707,0.090577,0.0,0.0,5e-06,5.65e-20,3.1,3.1
239.7,0.10279,0.066943,0.064399,0.088748,0.79847,0.92578,0.92578,0.92578,0.61598,0.50336,0.57765,0.4982,0.39707,0.4587,0.52866,0.87082,0.088748,0.0,0.0,5e-06,5.65e-20,3.1,3.1
239.9,0.10065,0.065614,0.063072,0.086914,0.79403,0.92578,0.92578,0.92578,0.60099,0.49275,0.56412,0.49536,0.39388,0.45573,0.53659,0.87094,0.086914,0.0,0.0,5e-06,5.65e-20,3.1,3.1
240.1,0.09605,0.062929,0.060287,0.083069,0.79099,0.92578,0.92578,0.92578,0.57841,0.47569,0.54339,0.48586,0.38706,0.44728,0.54457,0.87108,0.083069,0.0,0.0,5e-06,5.65e-20,3.1,3.1
240.3,0.10584,0.070837,0.066891,0.092163,0.78933,0.92578,0.92578,0.92578,0.53814,0.44361,0.5059,0.56843,0.46152,0.52654,0.55243,0.87124,0.092163,0.0,0.0,5e-06,5.65e-20,3.1,3.1
240.5,0.09779,0.065512,0.061821,0.085171,0.78768,0.92579,0.92579,0.92579,0.49787,0.41152,0.4684,0.56115,0.45481,0.51949,0.56004,0.8714,0.085171,0.0,0.0,5e-06,5.65e-20,3.1,3.1
240.7,0.089675,0.060157,0.056712,0.078126,0.78603,0.92579,0.92579,0.92579,0.45761,0.37944,0.4309,0.55387,0.4481,0.51244,0.56729,0.87156,0.078126,0.0,0.0,5e-06,5.65e-20,3.1,3.1
240.9,0.081518,0.054789,0.051581,0.071053,0.78437,0.92579,0.92579,0.92579,0.41734,0.34735,0.39341,0.54659,0.44138,0.50539,0.57418,0.87172,0.071053,0.0,0.0,5e-06,5.65e-20,3.1,3.1
241.1,0.073341,0.049376,0.046428,0.063951,0.78413,0.92579,0.92579,0.92579,0.37637,0.31438,0.35515,0.53931,0.43467,0.49834,0.58073,0.87188,0.063951,0.0,0.0,5e-06,5.65e-20,3.1,3.1
241.3,0.064943,0.043725,0.041112,0.056624,0.78529,0.92579,0.92579,0.92579,0.33376,0.27936,0.31514,0.53202,0.42796,0.4913,0.58693,0.87204,0.056624,0.0,0.0,5e-06,5.65e-20,3.1,3.1
241.5,0.05652,0.038077,0.035786,0.049284,0.78645,0.92579,0.92579,0.92579,0.29116,0.24434,0.27512,0.52474,0.42124,0.48425,0.5928,0.8722,0.049284,0.0,0.0,5e-06,5.65e-20,3.1,3.1
241.7,0.048096,0.032447,0.030464,0.041953,0.78761,0.92579,0.92579,0.92579,0.24856,0.20932,0.2351,0.51746,0.41453,0.4772,0.59834,0.87236,0.041953,0.0,0.0,5e-06,5.65e-20,3.1,3.1
241.9,0.039692,0.026853,0.025161,0.034648,0.78877,0.9258,0.9258,0.9258,0.20595,0.1743,0.19508,0.51018,0.40782,0.47015,0.60356,0.87252,0.034648,0.0,0.0,5e-06,5.65e-20,3.1,3.1
242.1,0.11132,0.077524,0.071172,0.097999,0.79112,0.9258,0.9258,0.9258,0.57951,0.50601,0.55401,0.5029,0.40111,0.4631,0.60846,0.87268,0.097999,0.0,0.0,5e-06,5.65e-20,3.1,3.1
242.3,0.11607,0.080542,0.074131,0.10207,0.79465,0.9258,0.9258,0.9258,0.60582,0.52829,0.57894,0.49562,0.39439,0.45606,0.61305,0.8728400000000001,0.10207,0.0,0.0,5e-06,5.65e-20,3.1,3.1
242.5,0.1207,0.083457,0.077008,0.10602,0.79818,0.9258,0.9258,0.9258,0.63214,0.55056,0.60387,0.48834,0.38768,0.44901,0.61735,0.873,0.10602,0.0,0.0,5e-06,5.65e-20,3.1,3.1
242.7,0.12521,0.086263,0.079796,0.10985,0.80172,0.9258,0.9258,0.9258,0.65845,0.57284,0.6288,0.48106,0.38097,0.44196,0.62134,0.8731599999999999,0.10985,0.0,0.0,5e-06,5.65e-20,3.1,3.1
242.9,0.12957,0.088955,0.082492,0.11355,0.80525,0.9258,0.9258,0.9258,0.68477,0.59512,0.65372,0.47378,0.37425,0.43491,0.62505,0.87332,0.11355,0.0,0.0,5e-06,5.65e-20,3.1,3.1
243.1,0.13319,0.091107,0.084703,0.11659,0.80961,0.92581,0.92581,0.92581,0.70713,0.61394,0.67487,0.46649,0.36754,0.42787,0.62847,0.87348,0.11659,0.0,0.0,5e-06,5.65e-20,3.1,3.1
243.3,0.13015,0.088652,0.082664,0.11377,0.81481,0.92581,0.92581,0.92581,0.69396,0.60161,0.66202,0.45921,0.36083,0.42082,0.63162,0.87364,0.11377,0.0,0.0,5e-06,5.65e-20,3.1,3.1
243.5,0.12703,0.086155,0.080581,0.1109,0.82001,0.92581,0.92581,0.92581,0.6808,0.58928,0.64916,0.45193,0.35411,0.41377,0.63451,0.8738,0.1109,0.0,0.0,5e-06,5.65e-20,3.1,3.1
243.7,0.12385,0.083623,0.07846,0.10797,0.8252,0.92581,0.92581,0.92581,0.66763,0.57695,0.63631,0.44465,0.3474,0.40672,0.63713,0.87396,0.10797,0.0,0.0,5e-06,5.65e-20,3.1,3.1
243.9,0.12062,0.08106,0.076307,0.105,0.8304,0.92581,0.92581,0.92581,0.65446,0.56462,0.62345,0.43737,0.34069,0.39967,0.63949,0.87412,0.105,0.0,0.0,5e-06,5.65e-20,3.1,3.1
244.1,0.14184,0.097052,0.090257,0.12419,0.8359,0.92582,0.92582,0.92582,0.64129,0.5523,0.61059,0.5197,0.41289,0.4779,0.64161,0.87428,0.12419,0.0,0.0,5e-06,5.65e-20,3.1,3.1
244.3,0.14738,0.10235,0.094246,0.12967,0.84171,0.92582,0.92582,0.92582,0.60048,0.51646,0.57151,0.57103,0.46106,0.52789,0.64348,0.87444,0.12967,0.0,0.0,5e-06,5.65e-20,3.1,3.1
244.5,0.14362,0.10022,0.092002,0.12657,0.84752,0.92582,0.92582,0.92582,0.55821,0.47938,0.53105,0.59299,0.48183,0.54933,0.64512,0.8746,0.12657,0.0,0.0,5e-06,5.65e-20,3.1,3.1
244.7,0.13228,0.092021,0.084661,0.11647,0.85334,0.92582,0.92582,0.92582,0.51594,0.4423,0.49059,0.58559,0.4752,0.54224,0.64654,0.87476,0.11647,0.0,0.0,5e-06,5.65e-20,3.1,3.1
244.9,0.12095,0.083852,0.077333,0.10638,0.85915,0.92582,0.92582,0.92582,0.47367,0.40523,0.45013,0.57819,0.46857,0.53515,0.64773,0.87492,0.10638,0.0,0.0,5e-06,5.65e-20,3.1,3.1
245.1,0.10959,0.075688,0.069995,0.096279,0.86454,0.92582,0.92582,0.92582,0.43141,0.36815,0.40967,0.57079,0.46194,0.52806,0.64871,0.87506,0.096279,0.0,0.0,5e-06,5.65e-20,3.1,3.1
245.3,0.097629,0.067244,0.062306,0.085696,0.86952,0.92583,0.92583,0.92583,0.38667,0.32954,0.36705,0.56339,0.45531,0.52097,0.64947,0.87518,0.085696,0.0,0.0,5e-06,5.65e-20,3.1,3.1
245.5,0.085556,0.058786,0.054563,0.075042,0.8745,0.92583,0.92583,0.92583,0.34111,0.29043,0.32371,0.55599,0.44868,0.51387,0.65004,0.8753,0.075042,0.0,0.0,5e-06,5.65e-20,3.1,3.1
245.7,0.073601,0.050432,0.046901,0.0645,0.87949,0.92583,0.92583,0.92583,0.29555,0.25131,0.28037,0.54859,0.44205,0.50678,0.65041,0.87542,0.0645,0.0,0.0,5e-06,5.65e-20,3.1,3.1
245.9,0.061781,0.042194,0.039332,0.054087,0.88447,0.92583,0.92583,0.92583,0.24999,0.2122,0.23703,0.54119,0.43543,0.49969,0.6506,0.87554,0.054087,0.0,0.0,5e-06,5.65e-20,3.1,3.1
246.1,0.050045,0.034039,0.031823,0.043758,0.88827,0.92583,0.92583,0.92583,0.20442,0.17309,0.19369,0.53379,0.4288,0.4926,0.6506,0.87566,0.043758,0.0,0.0,5e-06,5.65e-20,3.1,3.1
246.3,0.14309,0.098538,0.091319,0.12556,0.89091,0.92584,0.92584,0.92584,0.59112,0.50755,0.56236,0.52638,0.42217,0.48551,0.65043,0.87578,0.12556,0.0,0.0,5e-06,5.65e-20,3.1,3.1
246.5,0.14843,0.1021,0.094693,0.13019,0.89354,0.92584,0.92584,0.92584,0.6204,0.53297,0.59031,0.51898,0.41554,0.47842,0.6501,0.8759,0.13019,0.0,0.0,5e-06,5.65e-20,3.1,3.1
246.7,0.15355,0.10549,0.097926,0.13463,0.89617,0.92584,0.92584,0.92584,0.64967,0.55839,0.61826,0.51158,0.40891,0.47132,0.6496,0.87602,0.13463,0.0,0.0,5e-06,5.65e-20,3.1,3.1
246.9,0.15846,0.10871,0.10101,0.13886,0.8988,0.92584,0.92584,0.92584,0.67895,0.58381,0.6462,0.50418,0.40228,0.46423,0.64895,0.87614,0.13886,0.0,0.0,5e-06,5.65e-20,3.1,3.1
247.1,0.16285,0.11157,0.10377,0.14264,0.89983,0.92584,0.92584,0.92584,0.70822,0.60923,0.67415,0.49678,0.39565,0.45714,0.64815,0.87626,0.14264,0.0,0.0,5e-06,5.65e-20,3.1,3.1
