Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
472.0,0.040057,0.038611,0.039179,0.052475,0.97657,0.97657,0.97657,0.30412,0.32607,0.31014,0.51866,0.46628,0.49744,0.89478,0.908,0.052475,0.0,0.0,5e-06,5.65e-20,3.1,3.1
472.4,0.030298,0.02953,0.029707,0.039788,0.97669,0.97669,0.97669,0.25773,0.28344,0.26486,0.46266,0.41002,0.44141,0.89455,0.908,0.039788,0.0,0.0,5e-06,5.65e-20,3.1,3.1
472.8,0.024441,0.024593,0.024203,0.032415,0.9768,0.9768,0.9768,0.20961,0.2382,0.21763,0.45865,0.4061,0.43744,0.89432,0.908,0.032415,0.0,0.0,5e-06,5.65e-20,3.1,3.1
473.2,0.018967,0.019796,0.019006,0.025455,0.97691,0.97691,0.97691,0.16402,0.19351,0.17238,0.45463,0.40217,0.43347,0.89409,0.908,0.025455,0.0,0.0,5e-06,5.65e-20,3.1,3.1
473.6,0.014119,0.015185,0.014297,0.019148,0.97702,0.97702,0.97702,0.12312,0.14983,0.13081,0.45062,0.39825,0.42949,0.89386,0.908,0.019148,0.0,0.0,5e-06,5.65e-20,3.1,3.1
474.0,0.0093495,0.010657,0.0096676,0.012947,0.97712,0.97712,0.97712,0.082223,0.10615,0.089232,0.4466,0.39433,0.42552,0.89363,0.908,0.012947,0.0,0.0,5e-06,5.65e-20,3.1,3.1
474.4,0.055206,0.044777,0.051494,0.068963,0.97722,0.97722,0.97722,0.4897,0.45029,0.47957,0.44259,0.3904,0.42155,0.8934,0.908,0.068963,0.0,0.0,5e-06,5.65e-20,3.1,3.1
474.8,0.055303,0.045949,0.051876,0.069473,0.97731,0.97731,0.97731,0.49485,0.46658,0.48752,0.43858,0.38648,0.41758,0.89317,0.908,0.069473,0.0,0.0,5e-06,5.65e-20,3.1,3.1
475.2,0.054181,0.046049,0.051102,0.068435,0.9774,0.9774,0.9774,0.48911,0.47221,0.48469,0.43456,0.38255,0.41361,0.89294,0.908,0.068435,0.0,0.0,5e-06,5.65e-20,3.1,3.1
475.6,0.049484,0.04305,0.046952,0.062877,0.97749,0.97749,0.97749,0.4507,0.44587,0.44947,0.43055,0.37863,0.40963,0.89278,0.908,0.062877,0.0,0.0,5e-06,5.65e-20,3.1,3.1
