WAVE_nm,TAU_spectrSH_S,TAU_spectrSH_P,TAU_spectrSH,dichro_RHO_SH,coat_Rs_SH,coat_Rp_SH,coat_R_SH,echelle_Rs_SH,echelle_Rp_SH,echelle_R_SH,CD_Rs_SH,CD_Rp_SH,CD_R_SH,dDOPED_QE_SH,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
100.6,0.0068452,0.00079824,0.0051273,58.079,0.14292,0.14249,0.14271,0.53086,0.06564,0.40556,0.35167,0.33467,0.34632,0.21626,0.4707999999999992,0.0011364795810719962,0.0,1.25e-06,5e-06,1.3e-20,3.1,3.1
100.8,0.0075013,0.00085597,0.0056182,58.079,0.14308,0.14262,0.14286,0.58392,0.070696,0.44615,0.35167,0.33467,0.34632,0.21473,0.4993999999999996,0.001401181102551998,0.0,1.38e-06,5e-06,1.217e-20,3.1,3.1
101.0,0.0082612,0.00092561,0.0061854,58.079,0.14387,0.14339,0.14363,0.63698,0.075751,0.48673,0.35167,0.33467,0.34632,0.21323,0.528,0.0017243905536000002,0.0,1.5e-06,5e-06,1.144e-20,3.1,3.1
101.2,0.0083995,0.00092939,0.006289,58.079,0.14526,0.14475,0.14501,0.6336,0.074448,0.48422,0.35167,0.33467,0.34632,0.21176,0.5444000000000002,0.0018638794830400016,0.0,1.59e-06,5e-06,1.103e-20,3.1,3.1
101.4,0.0073239,0.00078893,0.0054573,58.079,0.14691,0.14637,0.14664,0.61139,0.071026,0.46734,0.30928,0.28997,0.30316,0.21033,0.5608000000000005,0.0017163025134720033,0.0,1.69e-06,5e-06,1.065e-20,3.1,3.1
101.6,0.0061041,0.00064736,0.0045257,58.079,0.14888,0.14832,0.1486,0.55569,0.064635,0.42487,0.27433,0.25297,0.26752,0.20893,0.5771999999999995,0.0015077814878879973,0.0,1.79e-06,5e-06,1.029e-20,3.1,3.1
101.8,0.0056633,0.00061349,0.0042082,58.079,0.15092,0.15033,0.15063,0.47258,0.055815,0.36148,0.2892,0.26839,0.28257,0.20756,0.5935999999999998,0.0014828053918719988,0.0,1.89e-06,5e-06,9.961e-21,3.1,3.1
102.0,0.0050618,0.00056363,0.0037694,58.079,0.15342,0.15281,0.15312,0.38489,0.046469,0.29456,0.30407,0.28381,0.29761,0.20622,0.61,0.00140259374,0.0,1.94e-06,5e-06,9.881e-21,3.1,3.1
102.2,0.0041273,0.00047918,0.0030799,58.079,0.15598,0.15534,0.15567,0.28651,0.035896,0.21941,0.31894,0.29923,0.31265,0.20492,0.6164000000000001,0.0011702048019040002,0.0,1.99e-06,5e-06,9.803e-21,3.1,3.1
102.4,0.008358,0.00063702,0.0062275,58.079,0.15906,0.15841,0.15874,0.52602,0.04306,0.40168,0.33382,0.31464,0.3277,0.20365,0.6228000000000001,0.002415521703600001,0.0,2.04e-06,5e-06,9.728e-21,3.1,3.1
102.6,0.010589,0.00096628,0.0079092,58.079,0.16228,0.16159,0.16194,0.60442,0.059019,0.4622,0.34869,0.33006,0.34274,0.20242,0.6291999999999999,0.003131194068287999,0.0,2.09e-06,5e-06,9.656e-21,3.1,3.1
102.8,0.013173,0.0013569,0.0098613,58.079,0.16559,0.16488,0.16524,0.68281,0.074978,0.52273,0.36356,0.34548,0.35778,0.20122,0.6355999999999999,0.003983840553167999,0.0,2.14e-06,5e-06,9.583e-21,3.1,3.1
103.0,0.014598,0.0017111,0.010955,58.079,0.16892,0.16818,0.16855,0.68878,0.085779,0.52813,0.37843,0.3609,0.37283,0.20006,0.642,0.00451525662,0.0,2.2e-06,5e-06,9.511e-21,3.1,3.1
103.2,0.013696,0.0017925,0.010255,58.079,0.17234,0.17158,0.17196,0.67664,0.095289,0.51975,0.34225,0.32233,0.33584,0.19893,0.6448,0.0042636909952,0.0,2.26e-06,5e-06,9.443e-21,3.1,3.1
103.4,0.010748,0.0015178,0.007995,58.079,0.17621,0.17543,0.17582,0.6294,0.098242,0.48435,0.27162,0.24904,0.26431,0.19784,0.6476000000000001,0.003352989151200001,0.0,2.32e-06,5e-06,9.377e-21,3.1,3.1
103.6,0.0078107,0.0011935,0.0057826,58.079,0.17992,0.17911,0.17951,0.53926,0.09318,0.41592,0.21759,0.19504,0.2103,0.19679,0.6504,0.002446156377216,0.0,2.38e-06,5e-06,9.313e-21,3.1,3.1
103.8,0.0077738,0.0013514,0.0058007,58.079,0.18376,0.18293,0.18334,0.44645,0.086286,0.34529,0.2468,0.22502,0.23975,0.19577,0.6532,0.0024749860611679997,0.0,2.45e-06,5e-06,9.23e-21,3.1,3.1
104.0,0.0069375,0.0012889,0.005207,58.079,0.18723,0.18638,0.18681,0.33851,0.069007,0.26226,0.27601,0.255,0.2692,0.19479,0.656,0.002240759552,0.0,2.55e-06,5e-06,9.07e-21,3.1,3.1
104.2,0.0053277,0.0011009,0.0040245,58.079,0.18875,0.18789,0.18832,0.23056,0.051729,0.17922,0.30522,0.28498,0.29865,0.19385,0.6600000000000001,0.001753072200000001,0.0,2.66e-06,5e-06,8.917e-21,3.1,3.1
104.4,0.014889,0.0024046,0.011204,58.079,0.18904,0.18816,0.1886,0.58811,0.10227,0.45424,0.33443,0.31496,0.3281,0.19294,0.6640000000000001,0.0049397987840000025,0.0,2.77e-06,5e-06,8.772e-21,3.1,3.1
104.6,0.017722,0.0032924,0.013409,58.079,0.18654,0.18565,0.1861,0.67304,0.13372,0.52158,0.36364,0.34494,0.35755,0.19208,0.6679999999999999,0.005983417615999999,0.0,2.89e-06,5e-06,8.634e-21,3.1,3.1
104.8,0.018314,0.0037902,0.013923,58.079,0.18029,0.1794,0.17984,0.71618,0.15763,0.55683,0.39285,0.37492,0.387,0.19125,0.6719999999999999,0.006287404031999999,0.0,3e-06,5e-06,8.534e-21,3.1,3.1
105.0,0.017062,0.0039209,0.01304,58.079,0.1728,0.1719,0.17235,0.70826,0.17234,0.55289,0.42206,0.4049,0.41645,0.19046,0.676,0.005958967040000001,0.0,3.07e-06,5e-06,8.509e-21,3.1,3.1
105.2,0.011005,0.0026882,0.0083611,58.079,0.16272,0.16182,0.16227,0.69614,0.18556,0.54562,0.33299,0.31029,0.32549,0.18972,0.6784000000000001,0.0038480002908160013,0.0,3.15e-06,5e-06,8.485e-21,3.1,3.1
105.4,0.005684,0.0014293,0.0042937,58.079,0.15145,0.15056,0.151,0.60444,0.17052,0.47526,0.2466,0.22373,0.23904,0.18901,0.6808000000000001,0.0019900811735680006,0.0,3.22e-06,5e-06,8.464e-21,3.1,3.1
105.6,0.0043551,0.0011913,0.0033162,58.079,0.14164,0.14076,0.1412,0.51274,0.15547,0.40491,0.27327,0.25118,0.26596,0.18834,0.6831999999999999,0.0015478769402879997,0.0,3.3e-06,5e-06,8.445e-21,3.1,3.1
105.8,0.0030876,0.0008863,0.0023627,58.079,0.13218,0.1313,0.13173,0.40887,0.1289,0.32371,0.29993,0.27862,0.29288,0.18771,0.6856,0.001110580897472,0.0,3.38e-06,5e-06,8.427e-21,3.1,3.1
106.0,0.0021316,0.00063532,0.0016385,58.079,0.12606,0.12517,0.12561,0.29978,0.09739,0.23788,0.3266,0.30607,0.3198,0.18713,0.688,0.0007755741439999999,0.0,3.5e-06,5e-06,8.366e-21,3.1,3.1
106.2,0.0039329,0.001007,0.0030021,58.079,0.12388,0.12298,0.12343,0.5404,0.14981,0.42491,0.35326,0.33351,0.34671,0.18658,0.6901999999999999,0.0014301285096839998,0.0,3.64e-06,5e-06,8.278e-21,3.1,3.1
106.4,0.0048566,0.0013695,0.0037338,58.079,0.12343,0.12252,0.12297,0.62899,0.19088,0.49726,0.37993,0.36096,0.37363,0.18608,0.6924,0.001790050032288,0.0,3.78e-06,5e-06,8.196e-21,3.1,3.1
106.6,0.006182,0.0018671,0.0047811,58.079,0.12526,0.12434,0.1248,0.71759,0.23195,0.56961,0.4066,0.38841,0.40055,0.18562,0.6945999999999999,0.002306733300875999,0.0,3.94e-06,5e-06,8.118e-21,3.1,3.1
106.8,0.0070484,0.0022452,0.0054796,58.079,0.1277,0.12677,0.12723,0.72626,0.24637,0.57863,0.43326,0.41585,0.42747,0.18521,0.6968,0.002660511503104,0.0,4.09e-06,5e-06,8.046e-21,3.1,3.1
107.0,0.0075955,0.0025449,0.0059359,58.079,0.12875,0.12782,0.12828,0.72082,0.25608,0.57648,0.45993,0.4433,0.45439,0.18483,0.699,0.0029002866758999998,0.0,4.26e-06,5e-06,7.979e-21,3.1,3.1
